,Conditions,DateUTC<br />,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeEDT,TimeEST,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees
33,Mostly Cloudy,2014-05-01 15:36:00<br />,15.6,,-,79.0,,1009.4,19.4,11:36 AM,,16.1,WNW,9.3,290
34,Overcast,2014-05-01 15:51:00<br />,15.6,,-,76.0,,1008.5,20.0,11:51 AM,,16.1,West,7.4,270
35,Clear,2014-05-01 16:51:00<br />,14.4,,-,63.0,,1007.9,21.7,12:51 PM,,16.1,WNW,11.1,290
36,Partly Cloudy,2014-05-01 17:51:00<br />,13.3,,-,55.0,,1007.2,22.8,1:51 PM,,16.1,Variable,11.1,0
37,Clear,2014-05-01 18:51:00<br />,12.2,,-,46.0,,1006.5,24.4,2:51 PM,,16.1,Calm,Calm,0
38,Clear,2014-05-01 19:51:00<br />,7.2,,29.6,32.0,,1006.0,25.0,3:51 PM,,16.1,Variable,9.3,0
39,Scattered Clouds,2014-05-01 20:51:00<br />,8.9,,-,37.0,,1005.6,24.4,4:51 PM,,16.1,North,-9999.0,0
40,Clear,2014-05-01 21:51:00<br />,8.3,,-,34.0,,1005.1,25.0,5:51 PM,,16.1,Variable,11.1,0
41,Clear,2014-05-01 22:51:00<br />,7.8,,-,35.0,,1004.7,24.4,6:51 PM,,16.1,Variable,5.6,0
42,Mostly Cloudy,2014-05-01 23:51:00<br />,8.9,,-,43.0,,1005.0,22.2,7:51 PM,,16.1,Calm,Calm,0
43,Overcast,2014-05-02 00:51:00<br />,10.6,,-,51.0,,1005.3,21.1,8:51 PM,,16.1,Calm,Calm,0
44,Overcast,2014-05-02 01:51:00<br />,10.6,,-,49.0,,1005.2,21.7,9:51 PM,,16.1,West,5.6,260
45,Overcast,2014-05-02 02:51:00<br />,12.2,,-,70.0,0.0,1006.1,17.8,10:51 PM,,16.1,WNW,5.6,290
46,Overcast,2014-05-02 03:51:00<br />,10.6,,-,61.0,,1006.1,18.3,11:51 PM,,16.1,West,11.1,280
0,Mostly Cloudy,2014-05-02 04:51:00<br />,8.3,,-,56.0,,1006.4,17.2,12:51 AM,,16.1,Variable,11.1,0
1,Mostly Cloudy,2014-05-02 05:51:00<br />,8.3,,-,58.0,,1006.7,16.7,1:51 AM,,16.1,Variable,5.6,0
2,Overcast,2014-05-02 06:51:00<br />,10.0,,-,69.0,,1006.6,15.6,2:51 AM,,16.1,Calm,Calm,0
3,Mostly Cloudy,2014-05-02 07:51:00<br />,8.9,,-,70.0,0.0,1006.9,14.4,3:51 AM,,16.1,NE,16.7,40
4,Overcast,2014-05-02 08:51:00<br />,8.9,,-,75.0,,1007.8,13.3,4:51 AM,,16.1,Calm,Calm,0
5,Mostly Cloudy,2014-05-02 09:51:00<br />,7.8,,-,69.0,,1007.8,13.3,5:51 AM,,16.1,Calm,Calm,0
6,Mostly Cloudy,2014-05-02 10:51:00<br />,7.8,,-,67.0,,1007.8,13.9,6:51 AM,,16.1,Calm,Calm,0
7,Overcast,2014-05-02 11:51:00<br />,7.2,,-,62.0,,1008.2,14.4,7:51 AM,,16.1,Calm,Calm,0
8,Overcast,2014-05-02 12:51:00<br />,6.7,,-,58.0,,1008.1,15.0,8:51 AM,,16.1,West,11.1,270
9,Mostly Cloudy,2014-05-02 13:51:00<br />,3.3,,-,41.0,,1008.4,16.7,9:51 AM,,16.1,Variable,5.6,0
10,Clear,2014-05-02 14:51:00<br />,1.1,,-,33.0,,1008.1,17.8,10:51 AM,,16.1,North,-9999.0,0
11,Mostly Cloudy,2014-05-02 15:51:00<br />,0.6,,-,31.0,,1007.7,18.3,11:51 AM,,16.1,Variable,11.1,0
12,Overcast,2014-05-02 16:51:00<br />,0.6,,27.8,29.0,,1007.6,18.9,12:51 PM,,16.1,Variable,9.3,0
13,Mostly Cloudy,2014-05-02 17:51:00<br />,0.6,,29.6,29.0,,1007.4,18.9,1:51 PM,,16.1,WNW,13.0,290
14,Scattered Clouds,2014-05-02 18:51:00<br />,1.7,,35.2,29.0,,1007.1,20.6,2:51 PM,,16.1,Variable,7.4,0
15,Partly Cloudy,2014-05-02 19:51:00<br />,1.1,,-,28.0,,1007.0,20.0,3:51 PM,,16.1,Variable,11.1,0
16,Mostly Cloudy,2014-05-02 20:51:00<br />,2.2,,31.5,32.0,,1007.1,19.4,4:51 PM,,16.1,Variable,5.6,0
17,Overcast,2014-05-02 21:51:00<br />,1.1,,-,30.0,,1007.6,19.4,5:51 PM,,16.1,North,-9999.0,0
18,Partly Cloudy,2014-05-02 22:51:00<br />,0.0,,31.5,29.0,,1008.4,18.3,6:51 PM,,16.1,West,14.8,280
19,Partly Cloudy,2014-05-02 23:51:00<br />,1.1,,-,34.0,,1009.2,17.2,7:51 PM,,16.1,Variable,7.4,0
20,Clear,2014-05-03 00:51:00<br />,0.6,,27.8,34.0,,1010.1,16.7,8:51 PM,,16.1,Variable,11.1,0
21,Clear,2014-05-03 01:51:00<br />,0.6,,-,35.0,,1010.8,16.1,9:51 PM,,16.1,Calm,Calm,0
22,Clear,2014-05-03 02:51:00<br />,1.1,,-,38.0,,1010.6,15.6,10:51 PM,,16.1,West,7.4,270
23,Clear,2014-05-03 03:51:00<br />,1.1,,-,39.0,,1010.9,15.0,11:51 PM,,16.1,West,7.4,280
0,Clear,2014-05-03 04:51:00<br />,0.6,,-,38.0,,1010.7,15.0,12:51 AM,,16.1,Variable,11.1,0
1,Clear,2014-05-03 05:51:00<br />,1.7,,-,44.0,,1010.8,13.9,1:51 AM,,16.1,Variable,7.4,0
2,Clear,2014-05-03 06:51:00<br />,1.1,,-,42.0,,1010.7,13.9,2:51 AM,,16.1,Calm,Calm,0
3,Clear,2014-05-03 07:51:00<br />,1.7,,-,44.0,,1010.9,13.9,3:51 AM,,16.1,Variable,5.6,0
4,Clear,2014-05-03 08:51:00<br />,1.7,,-,45.0,,1011.2,13.3,4:51 AM,,16.1,West,5.6,270
5,Clear,2014-05-03 09:51:00<br />,2.2,,-,51.0,,1011.6,12.2,5:51 AM,,16.1,Variable,5.6,0
6,Clear,2014-05-03 10:51:00<br />,2.8,,-,51.0,,1011.8,12.8,6:51 AM,,16.1,WSW,7.4,250
7,Clear,2014-05-03 11:51:00<br />,2.2,,-,45.0,,1011.4,13.9,7:51 AM,,16.1,Variable,5.6,0
8,Clear,2014-05-03 12:51:00<br />,2.8,,-,42.0,,1011.8,15.6,8:51 AM,,16.1,Variable,5.6,0
9,Partly Cloudy,2014-05-03 13:51:00<br />,2.8,,-,39.0,,1011.3,16.7,9:51 AM,,16.1,Variable,5.6,0
10,Clear,2014-05-03 14:51:00<br />,2.8,,-,37.0,,1010.6,17.8,10:51 AM,,16.1,Variable,9.3,0
11,Clear,2014-05-03 15:51:00<br />,2.8,,-,34.0,,1009.9,18.9,11:51 AM,,16.1,SSW,9.3,210
12,Clear,2014-05-03 16:51:00<br />,2.2,,27.8,31.0,,1009.3,20.0,12:51 PM,,16.1,Variable,5.6,0
13,Mostly Cloudy,2014-05-03 17:51:00<br />,2.8,,-,30.0,,1008.6,21.1,1:51 PM,,16.1,Calm,Calm,0
14,Overcast,2014-05-03 18:51:00<br />,3.3,,-,36.0,,1008.2,18.9,2:51 PM,,16.1,South,9.3,180
15,Overcast,2014-05-03 19:51:00<br />,3.9,,-,36.0,,1007.7,19.4,3:51 PM,,16.1,Variable,7.4,0
16,Overcast,2014-05-03 20:51:00<br />,3.9,,-,37.0,,1007.4,18.9,4:51 PM,,16.1,South,13.0,180
17,Overcast,2014-05-03 21:51:00<br />,4.4,,-,40.0,,1007.2,18.3,5:51 PM,,16.1,Variable,5.6,0
18,Mostly Cloudy,2014-05-03 22:51:00<br />,5.0,,-,43.0,0.0,1007.2,17.8,6:51 PM,,16.1,SSE,7.4,150
19,Rain,2014-05-03 23:51:00<br />,7.8,Rain,-,62.0,0.0,1008.5,15.0,7:51 PM,,6.4,North,-9999.0,0
20,Heavy Rain,2014-05-03 23:56:00<br />,8.3,Rain,-,69.0,0.03,1009.4,13.9,7:56 PM,,2.8,West,13.0,260
21,Light Rain,2014-05-04 00:05:00<br />,8.3,Rain,31.5,69.0,0.07,1009.4,13.9,8:05 PM,,4.8,Variable,7.4,0
22,Scattered Clouds,2014-05-04 00:51:00<br />,9.4,,-,83.0,0.07,1007.9,12.2,8:51 PM,,16.1,Calm,Calm,0
23,Partly Cloudy,2014-05-04 01:51:00<br />,9.4,,-,77.0,,1007.9,13.3,9:51 PM,,16.1,Calm,Calm,0
24,Light Rain,2014-05-04 02:51:00<br />,8.9,Rain,-,70.0,0.0,1008.3,14.4,10:51 PM,,14.5,Calm,Calm,0
25,Mostly Cloudy,2014-05-04 03:51:00<br />,9.4,,-,77.0,0.01,1008.1,13.3,11:51 PM,,16.1,Calm,Calm,0
0,Partly Cloudy,2014-05-04 04:51:00<br />,8.9,,-,77.0,,1008.2,12.8,12:51 AM,,16.1,Variable,9.3,0
1,Scattered Clouds,2014-05-04 05:51:00<br />,8.9,,-,77.0,,1008.0,12.8,1:51 AM,,16.1,Variable,5.6,0
2,Mostly Cloudy,2014-05-04 06:51:00<br />,7.8,,-,69.0,,1008.0,13.3,2:51 AM,,16.1,North,-9999.0,0
3,Mostly Cloudy,2014-05-04 07:51:00<br />,7.8,,-,69.0,,1007.7,13.3,3:51 AM,,16.1,Variable,7.4,0
4,Clear,2014-05-04 08:51:00<br />,6.7,,29.6,67.0,,1007.8,12.8,4:51 AM,,16.1,Variable,7.4,0
5,Clear,2014-05-04 09:51:00<br />,5.6,,-,64.0,,1008.4,12.2,5:51 AM,,16.1,West,7.4,260
6,Partly Cloudy,2014-05-04 10:51:00<br />,5.0,,-,59.0,,1008.7,12.8,6:51 AM,,16.1,Variable,7.4,0
7,Mostly Cloudy,2014-05-04 11:51:00<br />,3.9,,-,51.0,,1008.5,13.9,7:51 AM,,16.1,Variable,5.6,0
8,Overcast,2014-05-04 12:51:00<br />,3.9,,-,51.0,,1007.9,13.9,8:51 AM,,16.1,West,13.0,280
9,Overcast,2014-05-04 13:51:00<br />,3.3,,-,49.0,,1007.1,13.9,9:51 AM,,16.1,North,-9999.0,0
10,Overcast,2014-05-04 14:51:00<br />,2.8,,31.5,44.0,,1006.4,15.0,10:51 AM,,16.1,Variable,11.1,0
11,Scattered Clouds,2014-05-04 15:51:00<br />,1.7,,38.9,38.0,,1005.7,16.1,11:51 AM,,16.1,Variable,11.1,0
12,Overcast,2014-05-04 16:51:00<br />,1.1,,42.6,38.0,,1005.2,15.6,12:51 PM,,16.1,West,24.1,260
13,Overcast,2014-05-04 17:51:00<br />,0.6,,-,38.0,,1004.8,15.0,1:51 PM,,16.1,North,-9999.0,0
14,Mostly Cloudy,2014-05-04 18:51:00<br />,1.1,,35.2,35.0,,1004.2,16.7,2:51 PM,,16.1,WSW,20.4,250
15,Scattered Clouds,2014-05-04 19:51:00<br />,1.1,,-,35.0,,1004.1,16.7,3:51 PM,,16.1,West,13.0,270
16,Mostly Cloudy,2014-05-04 20:51:00<br />,0.6,,42.6,33.0,0.0,1004.3,17.2,4:51 PM,,16.1,NW,22.2,320
17,Mostly Cloudy,2014-05-04 21:51:00<br />,3.3,,35.2,47.0,0.02,1005.0,14.4,5:51 PM,,16.1,West,16.7,270
18,Clear,2014-05-04 22:51:00<br />,1.1,,-,38.0,,1005.0,15.6,6:51 PM,,16.1,North,-9999.0,0
19,Clear,2014-05-04 23:51:00<br />,-5.6,,-,23.0,,1005.8,15.6,7:51 PM,,16.1,North,-9999.0,0
20,Clear,2014-05-05 00:51:00<br />,-4.4,,31.5,26.0,,1006.9,15.0,8:51 PM,,16.1,WNW,13.0,300
21,Clear,2014-05-05 01:51:00<br />,-3.9,,37.0,28.0,,1008.0,14.4,9:51 PM,,16.1,NW,20.4,310
22,Clear,2014-05-05 02:51:00<br />,-2.8,,25.9,32.0,,1008.4,13.9,10:51 PM,,16.1,WNW,14.8,300
23,Clear,2014-05-05 03:51:00<br />,-2.8,,31.5,34.0,,1008.7,12.8,11:51 PM,,16.1,WNW,14.8,290
0,Mostly Cloudy,2014-05-05 04:51:00<br />,-1.7,,33.3,38.0,,1009.2,12.2,12:51 AM,,16.1,NW,14.8,310
1,Overcast,2014-05-05 05:51:00<br />,-0.6,,42.6,43.0,,1009.2,11.7,1:51 AM,,16.1,WNW,18.5,300
2,Clear,2014-05-05 06:51:00<br />,0.0,,-,47.0,,1009.7,11.1,2:51 AM,,16.1,WNW,13.0,300
3,Clear,2014-05-05 07:51:00<br />,1.1,,31.5,52.0,,1009.8,10.6,3:51 AM,,16.1,Variable,11.1,0
4,Clear,2014-05-05 08:51:00<br />,1.7,,29.6,57.0,,1010.3,10.0,4:51 AM,,16.1,Variable,5.6,0
5,Clear,2014-05-05 09:51:00<br />,1.7,,-,57.0,,1011.0,10.0,5:51 AM,,16.1,Variable,5.6,0
6,Clear,2014-05-05 10:51:00<br />,1.7,,29.6,57.0,,1012.1,10.0,6:51 AM,,16.1,Variable,5.6,0
7,Clear,2014-05-05 11:51:00<br />,1.1,,33.3,50.0,,1012.3,11.1,7:51 AM,,16.1,WNW,18.5,300
8,Clear,2014-05-05 12:51:00<br />,1.1,,31.5,47.0,,1012.3,12.2,8:51 AM,,16.1,NW,14.8,310
9,Clear,2014-05-05 13:51:00<br />,0.6,,37.0,43.0,,1012.1,12.8,9:51 AM,,16.1,WNW,20.4,300
10,Clear,2014-05-05 14:51:00<br />,0.6,,-,38.0,,1011.9,15.0,10:51 AM,,16.1,North,-9999.0,0
11,Clear,2014-05-05 15:51:00<br />,0.0,,40.7,34.0,,1011.7,16.1,11:51 AM,,16.1,WNW,24.1,300
12,Clear,2014-05-05 16:51:00<br />,0.0,,35.2,31.0,,1011.4,17.2,12:51 PM,,16.1,Variable,7.4,0
13,Clear,2014-05-05 17:51:00<br />,0.0,,-,28.0,,1010.9,18.9,1:51 PM,,16.1,Variable,11.1,0
14,Clear,2014-05-05 18:51:00<br />,-1.1,,-,24.0,,1010.3,20.0,2:51 PM,,16.1,North,-9999.0,0
15,Clear,2014-05-05 19:51:00<br />,-2.8,,29.6,21.0,,1009.7,20.6,3:51 PM,,16.1,North,18.5,10
16,Clear,2014-05-05 20:51:00<br />,-3.3,,27.8,21.0,,1009.3,20.0,4:51 PM,,16.1,Variable,11.1,0
17,Clear,2014-05-05 21:51:00<br />,-5.0,,-,19.0,,1009.5,19.4,5:51 PM,,16.1,Variable,9.3,0
18,Clear,2014-05-05 22:51:00<br />,-5.6,,-,19.0,,1009.7,18.9,6:51 PM,,16.1,Variable,9.3,0
19,Clear,2014-05-05 23:51:00<br />,-6.1,,-,19.0,,1010.3,18.3,7:51 PM,,16.1,WNW,13.0,290
20,Clear,2014-05-06 00:51:00<br />,-6.1,,-,20.0,,1010.8,17.2,8:51 PM,,16.1,WNW,14.8,300
21,Clear,2014-05-06 01:51:00<br />,-6.7,,-,20.0,,1011.6,16.7,9:51 PM,,16.1,WNW,11.1,300
22,Clear,2014-05-06 02:51:00<br />,-5.6,,-,24.0,,1012.0,15.0,10:51 PM,,16.1,North,-9999.0,0
23,Clear,2014-05-06 03:51:00<br />,-5.0,,-,26.0,,1012.2,14.4,11:51 PM,,16.1,Calm,Calm,0
0,Clear,2014-05-06 04:51:00<br />,-4.4,,-,29.0,,1012.4,13.3,12:51 AM,,16.1,Variable,5.6,0
1,Clear,2014-05-06 05:51:00<br />,-3.9,,-,31.0,,1012.0,12.8,1:51 AM,,16.1,Calm,Calm,0
2,Clear,2014-05-06 06:51:00<br />,-3.3,,-,34.0,,1011.8,12.2,2:51 AM,,16.1,Variable,7.4,0
3,Clear,2014-05-06 07:51:00<br />,-2.8,,-,37.0,,1011.9,11.7,3:51 AM,,16.1,Variable,7.4,0
4,Overcast,2014-05-06 11:51:00<br />,1.7,,-,47.0,,1013.9,12.8,7:51 AM,,16.1,ENE,5.6,70
5,Mostly Cloudy,2014-05-06 12:51:00<br />,1.1,,-,42.0,,1014.0,13.9,8:51 AM,,16.1,Variable,5.6,0
6,Mostly Cloudy,2014-05-06 13:51:00<br />,0.0,,-,36.0,,1013.9,15.0,9:51 AM,,16.1,Calm,Calm,0
7,Overcast,2014-05-06 14:51:00<br />,0.0,,-,36.0,,1014.0,15.0,10:51 AM,,16.1,WNW,7.4,290
8,Overcast,2014-05-06 15:51:00<br />,-1.7,,-,30.0,,1013.3,16.1,11:51 AM,,16.1,Variable,5.6,0
9,Mostly Cloudy,2014-05-06 16:51:00<br />,-1.1,,-,28.0,,1012.8,17.8,12:51 PM,,16.1,Variable,5.6,0
10,Scattered Clouds,2014-05-06 17:51:00<br />,-2.8,,-,21.0,,1012.5,20.6,1:51 PM,,16.1,Variable,11.1,0
11,Mostly Cloudy,2014-05-06 18:51:00<br />,-2.2,,-,21.0,,1011.7,21.1,2:51 PM,,16.1,North,-9999.0,0
12,Mostly Cloudy,2014-05-06 19:51:00<br />,-1.7,,35.2,22.0,,1011.9,20.6,3:51 PM,,16.1,Variable,9.3,0
13,Mostly Cloudy,2014-05-06 20:51:00<br />,-1.1,,-,23.0,,1012.6,20.6,4:51 PM,,16.1,Variable,11.1,0
14,Scattered Clouds,2014-05-06 21:51:00<br />,-1.7,,31.5,24.0,,1013.2,19.4,5:51 PM,,16.1,Variable,5.6,0
15,Clear,2014-05-06 22:51:00<br />,-2.2,,-,25.0,,1014.0,18.3,6:51 PM,,16.1,NW,11.1,310
16,Clear,2014-05-06 23:51:00<br />,-2.8,,-,25.0,,1015.1,17.8,7:51 PM,,16.1,Variable,7.4,0
17,Clear,2014-05-07 00:51:00<br />,-3.3,,-,25.0,,1016.1,16.7,8:51 PM,,16.1,Variable,5.6,0
18,Clear,2014-05-07 01:51:00<br />,-3.3,,-,26.0,,1017.0,16.1,9:51 PM,,16.1,NNE,9.3,30
19,Clear,2014-05-07 02:51:00<br />,-3.3,,-,28.0,,1017.6,15.0,10:51 PM,,16.1,Variable,7.4,0
20,Clear,2014-05-07 03:51:00<br />,-3.3,,-,30.0,,1018.3,14.4,11:51 PM,,16.1,NNE,7.4,30
0,Clear,2014-05-07 04:51:00<br />,-3.3,,-,32.0,,1019.1,13.3,12:51 AM,,16.1,Variable,7.4,0
1,Clear,2014-05-07 05:51:00<br />,-3.3,,-,34.0,,1019.4,12.2,1:51 AM,,16.1,Variable,9.3,0
2,Clear,2014-05-07 06:51:00<br />,-2.8,,-,37.0,,1019.8,11.7,2:51 AM,,16.1,North,-9999.0,0
3,Clear,2014-05-07 07:51:00<br />,-2.2,,-,38.0,,1020.4,11.7,3:51 AM,,16.1,Calm,Calm,0
4,Clear,2014-05-07 08:51:00<br />,-2.2,,-,40.0,,1020.9,11.1,4:51 AM,,16.1,Variable,7.4,0
5,Clear,2014-05-07 09:51:00<br />,-1.1,,-,46.0,,1021.6,10.0,5:51 AM,,16.1,NNE,5.6,30
6,Clear,2014-05-07 10:51:00<br />,-1.7,,-,40.0,,1021.9,11.7,6:51 AM,,16.1,Variable,7.4,0
7,Clear,2014-05-07 11:51:00<br />,-2.8,,-,35.0,,1022.4,12.2,7:51 AM,,16.1,NNE,9.3,20
8,Clear,2014-05-07 12:51:00<br />,-2.2,,-,34.0,,1023.5,13.3,8:51 AM,,16.1,NE,14.8,50
9,Clear,2014-05-07 13:51:00<br />,-1.7,,-,32.0,,1023.9,15.0,9:51 AM,,16.1,Variable,7.4,0
10,Clear,2014-05-07 14:51:00<br />,-1.7,,-,30.0,,1023.9,16.1,10:51 AM,,16.1,Calm,Calm,0
11,Clear,2014-05-07 15:51:00<br />,-2.2,,-,27.0,,1023.5,17.2,11:51 AM,,16.1,Variable,5.6,0
12,Clear,2014-05-07 16:51:00<br />,-1.1,,-,25.0,,1023.2,19.4,12:51 PM,,16.1,Calm,Calm,0
13,Clear,2014-05-07 17:51:00<br />,-2.2,,-,23.0,,1022.4,19.4,1:51 PM,,16.1,Calm,Calm,0
14,Clear,2014-05-07 18:51:00<br />,-1.7,,-,23.0,,1021.9,20.0,2:51 PM,,16.1,Calm,Calm,0
15,Clear,2014-05-07 19:51:00<br />,-0.6,,-,26.0,,1021.5,19.4,3:51 PM,,16.1,Calm,Calm,0
16,Clear,2014-05-07 20:51:00<br />,-1.1,,31.5,27.0,,1021.6,18.3,4:51 PM,,16.1,South,16.7,190
17,Clear,2014-05-07 21:51:00<br />,-0.6,,-,32.0,,1021.7,16.1,5:51 PM,,16.1,Variable,5.6,0
18,Clear,2014-05-07 22:51:00<br />,0.0,,-,36.0,,1021.9,15.0,6:51 PM,,16.1,Variable,9.3,0
19,Clear,2014-05-07 23:51:00<br />,1.7,,-,39.0,,1021.7,15.6,7:51 PM,,16.1,Calm,Calm,0
20,Clear,2014-05-08 00:51:00<br />,2.8,,-,42.0,,1022.4,15.6,8:51 PM,,16.1,WSW,13.0,240
21,Clear,2014-05-08 01:51:00<br />,3.3,,-,44.0,,1022.3,15.6,9:51 PM,,16.1,Variable,9.3,0
22,Clear,2014-05-08 02:51:00<br />,3.9,,-,48.0,,1022.3,15.0,10:51 PM,,16.1,WSW,9.3,250
23,Mostly Cloudy,2014-05-08 03:51:00<br />,4.4,,-,49.0,,1022.1,15.0,11:51 PM,,16.1,Variable,5.6,0
0,Mostly Cloudy,2014-05-08 04:51:00<br />,5.0,,-,53.0,,1022.0,14.4,12:51 AM,,16.1,WSW,7.4,250
1,Overcast,2014-05-08 05:51:00<br />,4.4,,-,51.0,,1022.3,14.4,1:51 AM,,16.1,WSW,11.1,250
2,Light Rain,2014-05-08 06:51:00<br />,9.4,Rain,-,86.0,0.03,1022.0,11.7,2:51 AM,,6.4,Calm,Calm,0
3,Light Rain,2014-05-08 07:40:00<br />,10.6,Rain,-,93.0,0.06,1022.9,11.7,3:40 AM,,4.0,Calm,Calm,0
4,Light Rain,2014-05-08 07:51:00<br />,10.6,Rain,-,90.0,0.07,1021.8,12.2,3:51 AM,,4.0,Calm,Calm,0
5,Light Rain,2014-05-08 08:04:00<br />,10.6,Rain,-,93.0,0.0,1022.6,11.7,4:04 AM,,4.8,NNE,7.4,20
6,Rain,2014-05-08 08:35:00<br />,10.6,Rain,-,93.0,0.06,1022.9,11.7,4:35 AM,,3.2,NE,5.6,40
7,Rain,2014-05-08 08:49:00<br />,11.0,Rain,-,94.0,0.09,1022.9,12.0,4:49 AM,,2.4,Calm,Calm,0
8,Light Rain,2014-05-08 08:51:00<br />,10.6,Rain,-,93.0,0.09,1021.9,11.7,4:51 AM,,2.4,Calm,Calm,0
9,Light Rain,2014-05-08 09:18:00<br />,10.6,Rain,-,93.0,0.04,1022.6,11.7,5:18 AM,,2.0,Calm,Calm,0
10,Light Rain,2014-05-08 09:38:00<br />,10.6,Rain,-,90.0,0.06,1022.2,12.2,5:38 AM,,3.2,East,5.6,100
11,Light Rain,2014-05-08 09:51:00<br />,10.6,Rain,-,90.0,0.07,1021.7,12.2,5:51 AM,,4.0,East,5.6,80
12,Light Rain,2014-05-08 10:06:00<br />,11.1,Rain,-,93.0,0.01,1022.6,12.2,6:06 AM,,2.8,ESE,5.6,120
13,Light Rain,2014-05-08 10:49:00<br />,11.0,Rain,-,94.0,0.04,1022.9,12.0,6:49 AM,,2.0,SSE,7.4,150
14,Light Rain,2014-05-08 10:51:00<br />,11.1,Rain,-,93.0,0.04,1022.2,12.2,6:51 AM,,2.0,Variable,7.4,0
15,Overcast,2014-05-08 11:29:00<br />,11.1,,-,93.0,0.02,1022.9,12.2,7:29 AM,,3.2,Variable,7.4,0
16,Light Rain,2014-05-08 11:36:00<br />,11.1,Rain,-,93.0,0.02,1022.9,12.2,7:36 AM,,2.8,Calm,Calm,0
17,Light Rain,2014-05-08 11:51:00<br />,10.6,Rain,-,90.0,0.04,1021.8,12.2,7:51 AM,,2.4,South,9.3,180
18,Light Rain,2014-05-08 11:58:00<br />,10.6,Rain,-,90.0,0.01,1022.6,12.2,7:58 AM,,3.2,South,13.0,170
19,Overcast,2014-05-08 12:49:00<br />,11.0,,-,94.0,0.04,1022.6,12.0,8:49 AM,,4.8,South,11.1,180
20,Overcast,2014-05-08 12:51:00<br />,10.6,,-,93.0,0.04,1021.8,11.7,8:51 AM,,4.8,Variable,9.3,0
21,Light Rain,2014-05-08 13:51:00<br />,11.1,Rain,-,93.0,0.02,1021.5,12.2,9:51 AM,,4.8,Variable,7.4,0
22,Overcast,2014-05-08 14:51:00<br />,11.1,,-,89.0,0.01,1021.2,12.8,10:51 AM,,8.0,Calm,Calm,0
23,Overcast,2014-05-08 15:51:00<br />,11.7,,-,90.0,,1021.0,13.3,11:51 AM,,4.8,SSE,5.6,150
24,Overcast,2014-05-08 16:51:00<br />,11.7,,-,90.0,,1020.6,13.3,12:51 PM,,6.4,East,7.4,80
25,Overcast,2014-05-08 17:09:00<br />,11.7,,-,90.0,,1021.2,13.3,1:09 PM,,4.0,Variable,7.4,0
26,Overcast,2014-05-08 17:51:00<br />,11.7,,-,90.0,,1020.2,13.3,1:51 PM,,3.2,ENE,9.3,60
27,Overcast,2014-05-08 17:59:00<br />,11.7,,-,90.0,,1021.2,13.3,1:59 PM,,2.8,ENE,9.3,70
28,Overcast,2014-05-08 18:15:00<br />,11.7,,-,90.0,,1020.9,13.3,2:15 PM,,3.2,Variable,7.4,0
29,Overcast,2014-05-08 18:47:00<br />,12.0,,-,94.0,,1020.9,13.0,2:47 PM,,3.2,East,7.4,100
30,Overcast,2014-05-08 18:51:00<br />,11.7,,-,90.0,,1019.8,13.3,2:51 PM,,3.2,Variable,9.3,0
31,Overcast,2014-05-08 19:02:00<br />,11.7,,-,87.0,,1020.5,13.9,3:02 PM,,4.0,ENE,5.6,70
32,Overcast,2014-05-08 19:19:00<br />,11.7,,-,87.0,,1020.5,13.9,3:19 PM,,4.8,ENE,13.0,60
33,Overcast,2014-05-08 19:51:00<br />,11.7,,-,87.0,,1019.5,13.9,3:51 PM,,6.4,ENE,9.3,60
34,Overcast,2014-05-08 20:51:00<br />,11.1,,-,87.0,,1019.4,13.3,4:51 PM,,8.0,ENE,9.3,70
35,Haze,2014-05-08 21:51:00<br />,11.1,,-,83.0,,1019.3,13.9,5:51 PM,,9.7,Variable,5.6,0
36,Overcast,2014-05-08 22:51:00<br />,11.1,,-,87.0,,1019.6,13.3,6:51 PM,,11.3,NE,9.3,50
37,Overcast,2014-05-08 23:51:00<br />,10.6,,-,84.0,,1020.7,13.3,7:51 PM,,11.3,ENE,7.4,60
38,Overcast,2014-05-09 00:51:00<br />,10.6,,-,86.0,,1020.6,12.8,8:51 PM,,11.3,ENE,13.0,60
39,Overcast,2014-05-09 01:36:00<br />,10.6,,-,84.0,,1021.9,13.3,9:36 PM,,14.5,ENE,9.3,60
40,Overcast,2014-05-09 01:51:00<br />,10.6,,-,84.0,,1021.3,13.3,9:51 PM,,12.9,ENE,5.6,60
41,Overcast,2014-05-09 02:43:00<br />,11.1,,-,87.0,,1022.6,13.3,10:43 PM,,9.7,ENE,5.6,60
42,Overcast,2014-05-09 02:51:00<br />,11.0,,-,88.0,,1022.6,13.0,10:51 PM,,9.7,Variable,7.4,0
43,Overcast,2014-05-09 03:34:00<br />,11.1,,-,89.0,,1022.6,12.8,11:34 PM,,4.0,NE,5.6,50
44,Overcast,2014-05-09 03:51:00<br />,11.1,,-,89.0,,1021.8,12.8,11:51 PM,,4.0,NE,7.4,50
0,Overcast,2014-05-09 04:44:00<br />,11.1,,-,89.0,,1022.6,12.8,12:44 AM,,4.8,NE,5.6,50
1,Overcast,2014-05-09 04:51:00<br />,11.1,,-,87.0,,1021.3,13.3,12:51 AM,,4.8,ENE,5.6,60
